"Ui Grid&amp;Form","Ui Grid&amp;Form"
"Ui Grid","Ui Grid"
"KozakGroup UiGridForm","KozakGroup UiGridForm"
"KozakGroup UiGridForm","KozakGroup UiGridForm"
"Add New Record","Add New Record"
"Record Id","Record Id"
"Record Name","Record Name"
"Record Select Field","Record Select Field"
"Manage Record","Manage Record"
"Record Info","Record Info"
"Record String Field","Record String Field"
"Record Table Field","Record Table Field"
"Add Table Param","Add Table Param"
"Table Param Name","Table Param Name"
"Wrong format of record_table_field in record data","Wrong format of record_table_field in record data"
"table_param_name key is undefined in record_table_field of record","table_param_name key is undefined in record_table_field of record"
"table_param_value key is undefined in record_table_field of provider","table_param_value key is undefined in record_table_field of provider"
"Back","Back"
"Delete Record","Delete Record"
"Are you sure you want to delete #%1?","Are you sure you want to delete #%1?"
"Save and Continue Edit","Save and Continue Edit"
"Save Record","Save Record"
"This Record no longer exists.","This Record no longer exists."
"Record #%1","Record #%1"
"New Record","New Record"
"Records","Records"
"You saved the Record.","You saved the Record."
"Something went wrong.","Something went wrong."